time,open,high,low,close
2022-08-12T17:30:00+03:00,4233.22,4245.27,4225.66,4242.78
2022-08-12T18:30:00+03:00,4242.82,4251.14,4242,4250.76
2022-08-12T19:30:00+03:00,4250.76,4254.86,4249.12,4254.05
2022-08-12T20:30:00+03:00,4254.08,4260.33,4253.45,4260.24
2022-08-12T21:30:00+03:00,4260.23,4273.54,4260.16,4271.8
2022-08-12T22:30:00+03:00,4271.78,4280.47,4269.93,4280.14
2022-08-15T16:30:00+03:00,4260.5,4280.74,4256.9,4269.05
2022-08-15T17:30:00+03:00,4269.04,4274.46,4263.5,4271.26
2022-08-15T18:30:00+03:00,4271.32,4292.16,4271.11,4292
2022-08-15T19:30:00+03:00,4291.97,4298.34,4291.44,4294.43
2022-08-15T20:30:00+03:00,4294.41,4295.07,4289.47,4294.24
2022-08-15T21:30:00+03:00,4294.24,4301.08,4293.14,4300.42
2022-08-15T22:30:00+03:00,4300.47,4301.79,4294.47,4297.15
2022-08-16T16:30:00+03:00,4290.46,4295.58,4283.36,4286.23
2022-08-16T17:30:00+03:00,4286.18,4300.23,4277.77,4299.74
2022-08-16T18:30:00+03:00,4299.57,4313.04,4298.46,4308.54
2022-08-16T19:30:00+03:00,4308.42,4313,4305.04,4311.1
2022-08-16T20:30:00+03:00,4311.25,4325.28,4310.6,4320.32
2022-08-16T21:30:00+03:00,4320.37,4320.39,4290.08,4303.24
2022-08-16T22:30:00+03:00,4303.23,4312.02,4303.02,4305.19
2022-08-17T16:30:00+03:00,4269.08,4282.37,4266.69,4273.09
2022-08-17T17:30:00+03:00,4273.1,4274.98,4260.62,4268.91
2022-08-17T18:30:00+03:00,4268.97,4272.13,4253.08,4269.02
2022-08-17T19:30:00+03:00,4269.05,4276.78,4267.85,4276.47
2022-08-17T20:30:00+03:00,4276.41,4298.49,4272.39,4293.26
2022-08-17T21:30:00+03:00,4293.31,4302.18,4271.58,4278.8
2022-08-17T22:30:00+03:00,4278.8,4280.18,4269.61,4274.03
2022-08-18T16:30:00+03:00,4274.17,4277.24,4261.98,4268.87
2022-08-18T17:30:00+03:00,4268.85,4283.09,4265.25,4281.8
2022-08-18T18:30:00+03:00,4281.92,4288.03,4271.78,4273.02
2022-08-18T19:30:00+03:00,4272.99,4278.11,4266.26,4276.93
2022-08-18T20:30:00+03:00,4277,4281.95,4274.78,4280.71
2022-08-18T21:30:00+03:00,4280.76,4291.23,4276.58,4290.1
2022-08-18T22:30:00+03:00,4290.11,4292.53,4279.55,4283.73
